trial_id,n_rows,yield_mean,yield_std,plus_share
1,78,3361.674871794872,1077.1952617525715,0.5
10,63,1620.17,772.8071907244937,0.49206349206349204
11,66,893.803787878788,395.72584607864826,0.5
12,63,2449.056984126984,980.4079291782562,0.49206349206349204
13,64,2899.276875,1382.7097941291063,0.515625
14,89,5324.661348314607,2000.6088769474377,0.4943820224719101
15,86,4952.316976744186,1960.4210615843974,0.5
16,39,3093.23641025641,1225.903832094781,0.3333333333333333
17,36,2036.4144444444444,565.1660588405825,0.5
18,20,2669.65995,1666.2451138316155,0.0
19,19,4634.965789473685,1859.48972578595,0.5263157894736842
2,39,2379.684358974359,1029.661276242373,1.0
3,74,3725.468378378378,979.6664161902424,0.5
4,80,2743.839,1023.6279988041047,0.5
5,150,3642.0007333333333,1007.1790684625665,0.5
6,38,959.436052631579,322.4642097679903,0.5
7,84,2731.520595238095,797.6497769862082,0.5
8,42,3513.5485714285714,1277.2467451754667,0.5
9,72,3071.317916666667,1932.411917038523,0.5
