feature,missing_pct,n_unique,dominant_value_ratio,std,variance,min,max,abs_spearman_to_target,constant_flag,near_constant_flag
geo_from_source,0.0,1,1.0,0.0,0.0,0.0,0.0,,True,True
is_survey,0.0,1,1.0,0.0,0.0,0.0,0.0,,True,True
on_farm,0.0,1,1.0,0.0,0.0,0.0,0.0,,True,True
yield_moisture,100.0,0,,,,,,,True,True
K_fertilizer,10.565723793677204,4,0.7776744186046511,8.438824490919002,71.21375878853436,0.0,50.0,0.06159095808098567,False,False
N_fertilizer,10.565723793677204,5,0.7776744186046511,25.48533168082294,649.5021308815575,0.0,150.0,0.1266721386503573,False,False
P_fertilizer,0.0,3,0.49750415973377704,14.438197571365182,208.46154910977543,0.0,30.0,0.031575419765272575,False,False
dmy_residue,18.80199667221298,972,0.0020491803278688526,286.6267001014744,82154.86521106053,20.248,1680.8,0.7030453724677944,False,False
flooded,0.0,2,0.5307820299500832,0.4990515671072,0.24905246663215214,0.0,1.0,0.27275127362912155,False,False
grain_P,7.653910149750416,1044,0.0036036036036036037,0.6815588173067856,0.4645224214486243,1.1433,4.6467,0.16909778137016615,False,False
irrigated,0.0,2,0.85108153078203,0.3560080880313628,0.12674175874374657,0.0,1.0,0.16858782273223238,False,False
latitude,0.0,11,0.33943427620632277,8.041438768206147,64.66473746280879,-6.809,36.076,0.4363301002780815,False,False
longitude,0.0,11,0.33943427620632277,39.052598081409045,1525.1054169080735,-16.677,140.073,0.14635687850739723,False,False
planting_date,0.0,3,0.5856905158069884,0.540570808457887,0.2922167989568135,2012.0,2014.0,0.05256102765032408,False,False
plot_area,12.645590682196339,9,0.3638095238095238,0.47653701828495787,0.22708752979591829,0.4,3.0,0.37103117501672345,False,False
record_id,0.0,1202,0.0008319467554076539,352.9819337919209,124596.24558348401,1.0,1223.0,0.026193775611471525,False,False
rep,8.236272878535774,2,0.9882139619220308,0.1079218577693779,0.011647127384393833,2.0,3.0,0.01403595606488923,False,False
residue_P,27.287853577371045,784,0.006864988558352402,0.5060642954208938,0.25610107109984565,0.09667,3.3248,0.11251080093469959,False,False
row_spacing,45.92346089850249,4,0.9092307692307692,1.4127475371150877,1.995855603624746,14.142135623731,20.0,0.015546273899972301,False,False
soil_P,43.760399334442596,21,0.11094674556213018,4.764449439661015,22.69997846308616,1.343438052446,18.0,0.45553197278173974,False,False
soil_pH,39.267886855241265,13,0.21506849315068494,0.5221061753344686,0.2725948583223869,4.7,6.9,0.1701604848908235,False,False
yield,0.0,1197,0.0016638935108153079,1712.494574956114,2932637.669254122,10.6667,10051.0,1.0,False,False
