trial_id,n_rows,yield_mean,yield_std,plus_share,n_varieties
1,78,3361.674871794872,1077.1952617525715,0.5,39
10,63,1620.17,772.8071907244937,0.49206349206349204,32
11,66,893.803787878788,395.72584607864826,0.5,33
12,63,2449.056984126984,980.4079291782562,0.49206349206349204,32
13,64,2899.276875,1382.7097941291063,0.515625,33
16,39,3093.23641025641,1225.903832094781,0.3333333333333333,13
17,36,2036.4144444444444,565.1660588405825,0.5,18
2,39,2379.684358974359,1029.661276242373,1.0,39
4,80,2743.839,1023.6279988041047,0.5,40
5,150,3642.0007333333333,1007.1790684625665,0.5,75
6,38,959.436052631579,322.4642097679903,0.5,19
8,42,3513.5485714285714,1277.2467451754667,0.5,21
9,72,3071.317916666667,1932.411917038523,0.5,12
