feature,mean_abs_shap,shap_rank,delta_rmse_mean,delta_r2_mean,perm_rank,final_role,rank_gap_abs,consensus_top10
location,222.11943698426185,1,80.86499439661084,0.08426362432438751,4,context,3,True
variety,218.57864169718013,2,132.21746731208071,0.1409129945907373,2,modifiable,0,True
soil_P,163.6508616170438,3,132.62761380554903,0.1414613510531123,1,context,2,True
soil_pH,151.67799951052515,4,80.24899036654007,0.08335853286883586,5,context,1,True
country,131.63922656336976,5,17.250575110125624,0.01747160928842692,9,context,4,True
P_fertilizer,126.89470492814299,6,95.16628377321504,0.09953003339876151,3,modifiable,3,True
plot_area,94.15917854330245,7,73.60469962178499,0.07624575264469265,6,context,1,True
flooded,55.265035848140485,8,62.12240774090809,0.06390162034848351,7,modifiable,1,True
latitude,54.522660111627694,9,6.505956131864949,0.006524601553192538,10,context,1,True
planting_date,46.719456771237105,10,24.237068951219698,0.02446979146436301,8,context,2,True
longitude,14.92146500971479,11,-5.695616755767489,-0.005654778565255106,17,context,6,False
K_fertilizer,10.785992434820166,12,0.49509340301646887,0.0004933822245303116,13,modifiable,1,False
N_fertilizer,10.566450316625907,13,-0.34954890974111663,-0.000346537051765225,14,modifiable,1,False
season,9.615446484280273,14,2.9559911170795488,0.0029487922635094976,11,context,3,False
row_spacing,5.165437723160419,15,-1.0824558658113261,-0.001077157658434566,16,modifiable,1,False
irrigated,3.215875913580157,16,-0.43038630842430337,-0.00042829247566382456,15,modifiable,1,False
rep,0.6043582840050851,17,1.089036761337951,0.0010852531230877982,12,context,5,False
