feature,shap_rank_mean,shap_rank_std,perm_rank_mean,perm_rank_std,shap_top10_rate,perm_top10_rate,mean_abs_shap_mean,delta_rmse_mean,final_role,joint_top10_rate
variety,1.3333333333333333,0.5773502691896257,1.3333333333333333,0.5773502691896257,1.0,1.0,233.7235988440137,137.411128517758,modifiable,1.0
soil_P,2.6666666666666665,0.5773502691896258,2.6666666666666665,2.0816659994661326,1.0,1.0,185.87536889579783,95.38205937679004,context,1.0
country,4.333333333333333,0.5773502691896257,7.333333333333333,0.5773502691896257,1.0,1.0,144.58802987705212,25.652099397552593,context,1.0
soil_pH,4.666666666666667,0.5773502691896257,4.0,1.7320508075688772,1.0,1.0,144.45830468236136,73.82086248824695,context,1.0
P_fertilizer,6.333333333333333,0.5773502691896258,4.0,1.0,1.0,1.0,126.0433203596973,78.25183978870132,modifiable,1.0
plot_area,6.666666666666667,0.5773502691896258,6.666666666666667,1.1547005383792515,1.0,1.0,101.54464313111309,37.70388113523771,context,1.0
flooded,8.0,0.0,5.333333333333333,1.5275252316519465,1.0,1.0,78.52273341752361,56.99100935901379,modifiable,1.0
location,2.0,1.0,6.666666666666667,6.429100507328636,1.0,0.6666666666666666,192.27861114683017,63.44042480467852,context,0.6666666666666666
planting_date,9.333333333333334,0.5773502691896258,11.666666666666666,4.618802153517007,1.0,0.6666666666666666,39.868485865212044,8.272771114995322,context,0.6666666666666666
latitude,10.0,1.0,9.666666666666666,1.5275252316519468,0.6666666666666666,0.6666666666666666,35.78250119822935,4.631706942491974,context,0.6666666666666666
longitude,10.666666666666666,0.5773502691896255,15.0,2.0,0.3333333333333333,0.0,23.073190356980025,-2.9018887334002934,context,0.0
season,12.666666666666666,1.1547005383792515,12.333333333333334,4.163331998932266,0.0,0.3333333333333333,15.08505667190479,2.3327205767982284,context,0.0
K_fertilizer,13.0,1.0,12.666666666666666,2.516611478423583,0.0,0.3333333333333333,7.231808779066992,0.11428521983215016,modifiable,0.0
N_fertilizer,13.666666666666666,1.1547005383792515,14.333333333333334,1.5275252316519468,0.0,0.0,6.184958459424063,-0.37714128948161374,modifiable,0.0
row_spacing,15.333333333333334,0.5773502691896258,12.666666666666666,3.055050463303893,0.0,0.3333333333333333,3.0053036280716285,0.051759766518046035,modifiable,0.0
irrigated,15.333333333333334,1.1547005383792515,13.666666666666666,2.5166114784235836,0.0,0.0,3.310304698624492,-0.0936255217748112,modifiable,0.0
rep,17.0,0.0,13.0,1.7320508075688772,0.0,0.0,0.2751328820891911,0.39627290340369353,context,0.0
