feature,mean_abs_shap,final_role
location,263.79709377188163,context
variety,187.09686460008933,modifiable
country,158.80480113579154,context
soil_pH,147.8254863647349,context
soil_P,140.11506136148614,context
P_fertilizer,122.71482522115926,modifiable
plot_area,95.32162559950035,context
latitude,59.66600744376458,context
flooded,58.189458235367816,modifiable
planting_date,27.010917240387744,context
longitude,16.273471849131802,context
season,15.495809262469843,context
N_fertilizer,5.8260237591851745,modifiable
row_spacing,4.957752461431928,modifiable
K_fertilizer,4.925106067661454,modifiable
irrigated,3.846671337893082,modifiable
rep,0.45069670793369854,context
