feature,final_role,feature_group,status,missing_pct,global_association,within_group_association,high_corr_pair_count,high_corr_drop_candidate_count,hybrid_priority_score,reasons
Variety,modifiable,Crop choice,candidate_modifiable,0.0,0.00426456879038169,0.00666826718765984,0,0,1.0067457886261353,
Nursery,modifiable,Input practice,candidate_modifiable,0.0,3.7720126150159164e-05,0.0021166498393089803,0,0,1.0010885010205746,
Seedrate(in Kg),modifiable,Input practice,candidate_redundant_review,0.0,0.5995641268362094,0.5988987147847683,11,1,1.6791006588613517,redundant_drop_candidate=1
LP_Mainfield(in Tonnes),modifiable,Input practice,candidate_redundant_review,0.0,0.5995641268362094,0.5988987147847683,11,2,1.5791006588613519,redundant_drop_candidate=2
Nursery area (Cents),modifiable,Input practice,candidate_redundant_review,0.0,0.5995641268362094,0.5988987147847683,11,3,1.4791006588613518,redundant_drop_candidate=3
LP_nurseryarea(in Tonnes),modifiable,Input practice,candidate_redundant_review,0.0,0.5995641268362094,0.5988987147847683,11,4,1.379100658861352,redundant_drop_candidate=4
DAP_20days,modifiable,Fertilizer schedule,candidate_redundant_review,0.0,0.5995641268362094,0.5988987147847683,11,5,1.2791006588613518,redundant_drop_candidate=5
Weed28D_thiobencarb,modifiable,Crop protection schedule,candidate_redundant_review,0.0,0.5995641268362094,0.5988987147847683,11,6,1.1791006588613517,redundant_drop_candidate=6
Urea_40Days,modifiable,Fertilizer schedule,candidate_redundant_review,0.0,0.5995641268362094,0.5988987147847683,11,7,1.0791006588613516,redundant_drop_candidate=7
Potassh_50Days,modifiable,Fertilizer schedule,candidate_redundant_review,0.0,0.5995641268362094,0.5988987147847683,11,8,0.9791006588613518,redundant_drop_candidate=8
Micronutrients_70Days,modifiable,Fertilizer schedule,candidate_redundant_review,0.0,0.5995641268362094,0.5988987147847683,11,9,0.8791006588613518,redundant_drop_candidate=9
Pest_60Day(in ml),modifiable,Crop protection schedule,candidate_redundant_review,0.0,0.5995641268362094,0.5988987147847683,11,10,0.7791006588613518,redundant_drop_candidate=10
Hectares,context,Farm profile,reserve_context,0.0,0.5995641268362094,0.5988987147847683,11,0,1.0291006588613518,
Soil Types,context,Field condition,reserve_context,0.0,0.0001237543866103785,0.003320869959786401,0,0,0.25175943848918153,
Trash(in bundles),proxy,Post-harvest/byproduct,excluded,0.0,0.5662049890183043,0.5667807663058727,0,0,0.23635437436757983,proxy_or_leakage;dictionary_exclude
Inst Wind Speed_D1_D30(in Knots),proxy,Weather,excluded,0.0,0.03309552122490674,,0,0,-0.4735235830200746,proxy_or_leakage
Inst Wind Speed_D61_D90(in Knots),proxy,Weather,excluded,0.0,0.032673247976039634,,0,0,-0.4738614016191683,proxy_or_leakage
Max temp_D1_D30,proxy,Weather,excluded,0.0,0.0295524128766314,,0,0,-0.4763580696986949,proxy_or_leakage
Max temp_D61_D90,proxy,Weather,excluded,0.0,0.02875148168194575,,0,0,-0.4769988146544434,proxy_or_leakage
30DRain( in mm),proxy,Weather/water,excluded,0.0,0.027709801134063766,,1,0,-0.477832159092749,proxy_or_leakage
Min temp_D1_D30,proxy,Weather,excluded,0.0,0.019513937049213538,,1,0,-0.4843888503606292,proxy_or_leakage
Inst Wind Speed_D91_D120(in Knots),proxy,Weather,excluded,0.0,0.012662965452153426,,0,0,-0.48986962763827724,proxy_or_leakage
Max temp_D31_D60,proxy,Weather,excluded,0.0,0.011631233068682892,,0,0,-0.4906950135450537,proxy_or_leakage
Max temp_D91_D120,proxy,Weather,excluded,0.0,0.011631233068682892,,0,0,-0.4906950135450537,proxy_or_leakage
Relative Humidity_D61_D90,proxy,Weather,excluded,0.0,0.010268903283697858,,0,0,-0.4917848773730417,proxy_or_leakage
Relative Humidity_D1_D30,proxy,Weather,excluded,0.0,0.010077231943401618,,0,0,-0.4919382144452787,proxy_or_leakage
Inst Wind Speed_D31_D60(in Knots),proxy,Weather,excluded,0.0,0.006746799133161418,,0,0,-0.49460256069347086,proxy_or_leakage
30_50DRain( in mm),proxy,Weather/water,excluded,0.0,0.005830014793687751,,3,0,-0.4953359881650498,proxy_or_leakage
51_70DRain(in mm),proxy,Weather/water,excluded,0.0,0.005830014793687751,,1,0,-0.4953359881650498,proxy_or_leakage
Min temp_D31_D60,proxy,Weather,excluded,0.0,0.003111582467194337,,0,0,-0.4975107340262445,proxy_or_leakage
Min temp_D91_D120,proxy,Weather,excluded,0.0,0.0025696565392968264,,0,0,-0.4979442747685625,proxy_or_leakage
Relative Humidity_D31_D60,proxy,Weather,excluded,0.0,0.001993233965974032,,0,0,-0.4984054128272208,proxy_or_leakage
Wind Direction_D1_D30,proxy,Weather,excluded,0.0,0.0016058500179235954,,0,0,-0.4987153199856611,proxy_or_leakage
Wind Direction_D91_D120,proxy,Weather,excluded,0.0,0.0016058500179235956,,0,0,-0.4987153199856611,proxy_or_leakage
Wind Direction_D61_D90,proxy,Weather,excluded,0.0,0.001537645160361962,,0,0,-0.49876988387171045,proxy_or_leakage
Relative Humidity_D91_D120,proxy,Weather,excluded,0.0,0.0010579328376885675,,0,0,-0.49915365372984916,proxy_or_leakage
Wind Direction_D31_D60,proxy,Weather,excluded,0.0,0.0005417918813726554,,0,0,-0.4995665664949019,proxy_or_leakage
30DAI(in mm),proxy,Weather/water,excluded,0.0,0.027709801134063766,,1,1,-0.577832159092749,proxy_or_leakage;redundant_drop_candidate=1
Min temp_D61_D90,proxy,Weather,excluded,0.0,0.019513937049213538,,1,1,-0.5843888503606292,proxy_or_leakage;redundant_drop_candidate=1
30_50DAI(in mm),proxy,Weather/water,excluded,0.0,0.005830014793687751,,3,1,-0.5953359881650498,proxy_or_leakage;redundant_drop_candidate=1
51_70AI(in mm),proxy,Weather/water,excluded,0.0,0.005830014793687751,,1,1,-0.5953359881650498,proxy_or_leakage;redundant_drop_candidate=1
71_105DRain(in mm),proxy,Weather/water,excluded,0.0,0.005830014793687751,,3,2,-0.6953359881650498,proxy_or_leakage;redundant_drop_candidate=2
71_105DAI(in mm),proxy,Weather/water,excluded,0.0,0.005830014793687751,,3,3,-0.7953359881650499,proxy_or_leakage;redundant_drop_candidate=3
