feature,feature_type,group_purity_weighted,perfect_level_ratio,within_std_ratio,between_group_eta_squared,proxy_flag
Wind Direction_D1_D30,categorical,1.0,1.0,,,True
Wind Direction_D31_D60,categorical,0.844311377245509,0.8,,,True
Wind Direction_D61_D90,categorical,0.84901625320787,0.8,,,True
Wind Direction_D91_D120,categorical,0.9999999999999999,1.0,,,True
30DAI(in mm),numeric,,,5.381846831281268e-15,1.0000000000000002,True
30DRain( in mm),numeric,,,7.44559321392869e-15,1.0000000000000002,True
30_50DAI(in mm),numeric,,,9.315924396483561e-14,1.0000000000000002,True
30_50DRain( in mm),numeric,,,4.783111714781683e-14,1.0000000000000144,True
51_70AI(in mm),numeric,,,3.821075786073841e-14,1.0000000000000002,True
51_70DRain(in mm),numeric,,,3.446051613813052e-14,1.0000000000000002,True
71_105DAI(in mm),numeric,,,2.0241778685711257e-14,1.0000000000000002,True
71_105DRain(in mm),numeric,,,1.0120889342855629e-14,1.0,True
Inst Wind Speed_D1_D30(in Knots),numeric,,,0.0,1.0000000000000002,True
Inst Wind Speed_D31_D60(in Knots),numeric,,,0.0,1.0,True
Inst Wind Speed_D61_D90(in Knots),numeric,,,0.0,1.0000000000000002,True
Inst Wind Speed_D91_D120(in Knots),numeric,,,0.0,0.9999999999999999,True
Max temp_D1_D30,numeric,,,0.0,1.0,True
Max temp_D31_D60,numeric,,,0.0,1.0000000000000002,True
Max temp_D61_D90,numeric,,,0.0,0.9999999999999998,True
Max temp_D91_D120,numeric,,,0.0,0.9999999999999998,True
Min temp_D1_D30,numeric,,,0.0,0.9999999999999998,True
Min temp_D31_D60,numeric,,,0.0,1.0000000000000002,True
Min temp_D61_D90,numeric,,,0.0,0.9999999999999998,True
Min temp_D91_D120,numeric,,,0.0,1.0,True
Relative Humidity_D1_D30,numeric,,,1.774249751672057e-15,1.0,True
Relative Humidity_D31_D60,numeric,,,0.0,1.0000000000000002,True
Relative Humidity_D61_D90,numeric,,,0.0,0.9999999999999999,True
Relative Humidity_D91_D120,numeric,,,0.0,1.0,True
Nursery,categorical,0.21471343028229256,0.0,,,False
Soil Types,categorical,0.21471343028229256,0.0,,,False
Variety,categorical,0.21471343028229256,0.0,,,False
DAP_20days,numeric,,,0.9995032327741465,0.000993287674030643,False
Hectares,numeric,,,0.9995032327741463,0.000993287674030644,False
LP_Mainfield(in Tonnes),numeric,,,0.9995032327741465,0.0009932876740306417,False
LP_nurseryarea(in Tonnes),numeric,,,0.9995032327741463,0.000993287674030644,False
Micronutrients_70Days,numeric,,,0.9995032327741462,0.0009932876740306445,False
Nursery area (Cents),numeric,,,0.9995032327741465,0.000993287674030643,False
Paddy yield(in Kg),numeric,,,0.9994424767539724,0.0011147356598852855,False
Paddy yield_per_hectare(in Kg),numeric,,,0.9991967523876747,0.0016058500179235956,False
Pest_60Day(in ml),numeric,,,0.9995032327741463,0.0009932876740306477,False
Potassh_50Days,numeric,,,0.9995032327741463,0.00099328767403064,False
Seedrate(in Kg),numeric,,,0.9995032327741465,0.0009932876740306417,False
Trash(in bundles),numeric,,,0.9995032825115624,0.0009931882486116969,False
Urea_40Days,numeric,,,0.9995032327741464,0.0009932876740306453,False
Weed28D_thiobencarb,numeric,,,0.9995032327741463,0.000993287674030644,False
